id #,text,name of company,concept,source
00010, video sharing service owned by Googlecompany LLCType of businessSubsidiaryType of siteVideo hosting serviceFoundedFebruary 14 2005 13 years ago 2005 02 14 Headquarters901 Cherry AvenueSan Bruno California United StatesCoordinates37 37 41 N 122 25 35 W 37 62806 N 122 42639 W 37 62806 122 42639Coordinates 37 37 41 N 122 25 35 W 37 62806 N 122 42639 W 37 62806 122 42639Area servedWorldwide except for blocked countries OwnerAlphabet Inc Founder s Steve ChenChad HurleyJawed KarimCEOSusan WojcickiIndustryInternetVideo hosting serviceParentGoogle 2006 present Websitecompany com see list of localized domain names Alexa rank 2 Global August 2018 update 1 AdvertisingGoogle AdSenseRegistrationOptional not required to watch most videos required for certain tasks such as uploading videos viewing flagged 18 videos creating playlists liking or disliking videos and posting comments LaunchedFebruary 14 2005 13 years ago 2005 02 14 C ,YouTube,company,Wikipedia
00011, A major contributor to this article appears to have a close connection with its subject It may require cleanup to comply with Wikipedia s content policies particularly neutral point of view Please discuss further on the talk page September 2017 Learn how and when to remove this template message company Inc TypePublicTraded asNYSE SHOPTSX SHOPIndustryInternetFoundersTobias L tkeDaniel WeinandScott LakeHeadquartersOttawa Ontario CanadaArea servedWorldwideRevenue 580 9 million 1 2017 Number of employees3 000 2 Websiteshopify comcompany is a Canadian e commerce company headquartered in Ottawa Ontario It is also the name of its proprietary e commerce platform for online stores and retail point of sale systems 3 The company reported that it had more than 600 000 merchants using its platform as of August 2017 4 with total gross merchandise volume exceeding 55 billion 4 5 6 7 Contents1 History2 Reception3 Criticis ,Shopify,company,Wikipedia
00012, Redirected from Mailchimp companyTypePrivateIndustryEmail marketingFounded2001FounderBen Chestnut and Dan KurziusHeadquartersPonce City Market Atlanta Georgia 1 Key peopleBen Chestnut CEO ProductsEmail marketingRevenue 525 million 2017 2 400 million 2016 3 Number of employees800 4 ParentRocket Science Group 5 DivisionsTinyLetterWebsitemailchimp comcompany is a marketing automation platform and an email marketing service and a trading name of its operator Rocket Science Group an American company founded in 2001 by Ben Chestnut and Dan Kurzius 6 7 company began as a paid service and added a freemium option in 2009 Within a year its user base had grown from 85 000 to 450 000 8 By June 2014 it was sending over 10 billion emails per month on behalf of its users 9 In 2017 the company was gaining 14 000 new customers every day The company is still owned by its cofounders and has never accepted venture capit ,MailChimp,company,Wikipedia
00013, com Redirected from Salesforce Salesforce com inc TypePublicTraded asNYSE CRMS P 500 ComponentIndustryCloud computingSoftwareFounded1999 19 years ago 1999 FounderMarc BenioffParker Harris 1 HeadquartersThe LandmarkSan Francisco California U S Key peopleMarc Benioff Chairman co CEO Keith Block co CEO Parker Harris Exec VP of Technology ProductsSales Cloud Service Cloud Platform Marketing Cloud Commerce Cloud Community CloudServicesCloud computingSocial enterpriseRevenue US 8 39 billion 2017 2 Operating income US 61 74 million 2017 2 Net income US 179 6 million 2017 2 Total assets US 17 58 billion 2017 2 Total equity US 7 50 billion 2017 2 Number of employees30 145 2017 2 SubsidiariesQuipDemandwareHerokuWebsitesalesforce comSalesforce com Inc styled in its logo as sales orce abbreviated usually as SF or SFDC is an American cloud computing company headquartered in San Francisco California Though its revenue comes ,Salesforce,company,Wikipedia
00014, This article contains content that is written like an advertisement Please help improve it by removing promotional content and inappropriate external links and by adding encyclopedic content written from a neutral point of view March 2018 Learn how and when to remove this template message company Inc Type of businessPrivateAvailable inDansk Deutsch English Espa ol Fran ais Italiano Nederlands Norsk Portugu s Suomi Svenska T rk e 1 Founded1999 1999 2 HeadquartersOne Curiosity Way San Mateo CA 94403United States 3 No of locationsSan Mateo Portland Seattle Dublin Ottawa London Sydney 4 Area servedWorldwideFounder s Ryan Finley Chris FinleyCEOZander Lurie CEO 5 IndustryOnline survey servicesProductsOnline survey toolsRevenue 113m 6 Websitecompany comAlexa rank 600 April 2017 update 7 Registrationrequired for creating a surveyUsers25 000 000Written in NET Pythoncompany is an online survey 8 developmen ,SurveyMonkey,company,Wikipedia
00015, This article is about the building material For the software company see company Systems Not to be confused with abode or adobo company wall detail in Bahillo Palencia Spain Renewal of the surface coating of an adobe wall in Chamisal New Mexico Shiraz Iran Its urban gardens are separated by adobe walls company US do b listen UK do b 1 Spanish a o e is a building material made from earth and other organic materials company means mudbrick in Spanish but in some English speaking regions of Spanish heritage the term is used to refer to any kind of earth construction Most adobe buildings are similar in appearance to cob and rammed earth buildings company is among the earliest building materials and is used throughout the world Contents1 Description2 Strength3 Distribution4 Etymology5 Composition6 Material properties7 Uses7 1 Poured and puddled adobe walls7 2 company bricks7 3 company wall construction7 4 company roof8 Adob ,Adobe,company,Wikipedia
00016, Alto Networks companyTypePublicTraded asNYSE PANWRussell 1000 ComponentIndustryNetwork Security 1 Founded2005HeadquartersSanta Clara CA U S Area servedWorldwideKey peopleNikesh Arora CEO Nir ZukFounder and CTORajiv BatraFounder and Vice President EngineeringRevenueUSD 1 8 Billion FY 2017 2 Websitewww paloaltonetworks comcompany Inc is a network and enterprise security company based in Santa Clara California The company s core products are a platform that includes advanced firewalls and cloud based offerings that extend those firewalls to cover other aspects of security Their firewalls are designed to provide network security visibility and granular control of network activity based on application user and content identification In 2017 company announced the availability of its new cloud based service Logging Services allowing customers to amass their own data 3 In 2018 company introduc ,Palo,company,Wikipedia
00017, This article is about the company For the search engine see company Search For other uses see company disambiguation Not to be confused with Googol company LLCcompany s logo since 2015 update company s headquarters the companyplex in August 2014Formerlycompany Inc 1998 2017 TypeSubsidiaryIndustryInternetSoftwareComputer hardwareFoundedSeptember 4 1998 19 years ago 1998 09 04 in Menlo Park California U S 1 2 FoundersLarry PageSergey BrinHeadquarters1600 Amphitheatre Parkway Mountain View California U S 3 Area servedWorldwideKey peopleSundar Pichai CEO Ruth Porat CFO ProductsList of company productsNumber of employees85 050 4 Q1 2018 update ParentAlphabet Inc 2015 present SubsidiariesList of subsidiariesWebsitegoogle comcompany LLC 5 is an American multinational technology company that specializes in Internet related services and products which include online advertising technologies search engine cloud computing sof ,Google,company,Wikipedia
00018, company Inc TypePublicTraded asNYSE HUBSRussell 2000 ComponentIndustrySoftwareFoundedJune 2006FounderBrian Halligan Dharmesh ShahHeadquartersCambridge MassachusettsRevenueUS 375 6 million 2017 1 Operating incomeUS 40 1 million 2017 1 Net incomeUS 39 70 million 2017 1 Total assetsUS 712 million 2017 1 Total equityUS 210 3 million 2017 1 Websitewww hubspot comcompany is a developer and marketer of software products for inbound marketing and sales It was founded by Brian Halligan and Dharmesh Shah in 2006 Its products and services aim to provide tools for social media marketing content management web analytics and search engine optimization Contents1 History2 Software and services2 1 company CRM Free2 2 Tech industry reviews3 Controversy4 Reception5 References6 Further reading7 External linksHistory edit Interior view of company s office spacecompany was founded by Brian Halligan and Dharmesh Shah at the Massachuse ,HubSpot,company,Wikipedia
00019, Redirected from company Foundation This article is about the blogging software For the blog host see company com companycompany DashboardDeveloper s company FoundationInitial releaseMay 27 2003 15 years ago 2003 05 27 1 Stable release4 9 8 2 2018 08 02 Repositoryhttps core trac wordpress org browser Written inPHPOperating systemUnix like WindowsTypeBlog software Content Management System Content Management FrameworkLicenseGNU GPLv2 3 Websitewordpress orgcompany is a free and open source content management system CMS based on PHP and MySQL 4 Features include a plugin architecture and a template system It is most associated with blogging but supports other types of web content including more traditional mailing lists and forums media galleries and online stores Used by more than 60 million websites 5 including 30 6 of the top 10 million websites as of April 2018 update 6 7 company is the most po ,WordPress,company,Wikipedia
00020, company Holdings Inc Type of businessPublicType of siteFinancialAvailable inMultilingualTraded asNASDAQ PYPLNASDAQ 100 ComponentS P 100 ComponentS P 500 ComponentFoundedDecember 1998 19 years ago 1998 12 as Confinity 1999 19 years ago 1999 as X com Predecessor s Confinity X comHeadquarters2211 North First StreetSan Jose CaliforniaU S Coordinates37 22 37 N 121 55 21 W 37 3770 N 121 9226 W 37 3770 121 9226Coordinates 37 22 37 N 121 55 21 W 37 3770 N 121 9226 W 37 3770 121 9226Area servedWorldwideFounder s Ken HoweryLuke NosekMax LevchinPeter ThielElon Musk X com founder Key peopleJohn Donahoe Chairman Dan Schulman CEO IndustryFinancial servicesProductsCredit cards payment systemsRevenue US 13 094 billion 2017 1 Operating income US 2 127 billion 2017 1 Net income US 1 795 billion 2017 1 Total assets US 40 774 billion 2017 1 Total equity US 15 994 billion 2017 1 Employeesc 18 700 December 2017 1 ParenteBay ,PayPal,company,Wikipedia
00021, Video Communications company Inc TypePrivately heldFounded2011HeadquartersSan Jose CaliforniaServicesZoom MeetingsZoom Premium AudioZoom Business IMZoom Video WebinarZoom RoomsZoom H 323 SIP ConnectorZoom Developer PlatformNumber of employees 1300 August 2018 1 Websitezoom uscompany is a company headquartered San Jose California that provides remote conferencing services using cloud computing Zoom offers communications software that combines video conferencing online meetings chat and mobile collaboration 2 Contents1 History2 Products3 Reception4 ReferencesHistory edit Zoom was founded in 2011 by a lead engineer from Cisco Systems and its collaboration business unit WebEx 2 The founder Eric S Yuan graduated from the Stanford University executive program and was previously vice president of engineering at Cisco for collaboration software development David Berman from WebEx and Ring Central became pres ,Zoom,company,Wikipedia
00022, Redirected from Basecamp Alpinist redirects here For the magazine see Alpinist magazine For the practice of closed circuit diving without a bailout see Rebreather Bailout Mountaineer redirects here For other uses see Mountaineer disambiguation Basecamp redirects here For the online project manager see Basecamp software For the live music service see Basecamp Productions For the most commonly referred to basecamp see Everest Base Camp Mountain Climbing redirects here For the album by the American rock band Mountain see Climbing This article needs additional citations for verification Please help improve this article by adding citations to reliable sources Unsourced material may be challenged and removed November 2012 Learn how and when to remove this template message A climber taking the final few steps onto the 6 160 m 20 210 ft 1 summit of Imja Tse Island Peak in Nepal 2004 An open crevasse at the Mont ,Mountaineering,company,Wikipedia
00023, companycompany headquarters in San FranciscoTypePublicTraded asNASDAQ DOCUFounded2003HeadquartersSan Francisco CaliforniaNumber of locations13 1 2015 Key peopleDaniel Springer CEO 2 Tom Gonser Co founder 3 Court Lorenzini Co founder Keith Krach Chairman ProductsElectronic signature and digital transaction management software and servicesWebsitedocusign comcompany is a San Francisco based company that provides electronic signature technology and digital transaction management services for facilitating electronic exchanges of contracts and signed documents company s features include authentication services user identity management and workflow automation Signatures processed by company are comparable to traditional signatures based on the product s compliance with the ESIGN Act 4 as well as the European Union s Directive 1999 93 EC on electronic signatures 5 In April 2018 company filed for an initial publi ,DocuSign,company,Wikipedia
00024, company may refer to Contents1 Businesses and private organizations1 1 Political1 2 Other organizations2 Law and government3 Science technology and mathematics3 1 Biology and medicine3 2 Computing and telecommunication3 3 Other uses in science technology and mathematics4 Other uses5 See alsoBusinesses and private organizations edit Political edit Swedish Social Democratic Party Swedish Sveriges socialdemokratiska arbetareparti Revolutionary Communist League Belgium a political party known in Dutch as Socialistische Arbeiderspartij or companySocialist Alternative Politics a socialist political party in the NetherlandsSocialist Workers Party Denmark Danish Socialistisk Arbejderparti South African Party 1911 1934 an party representing Afrikaner interests in the Union of South AfricaOther organizations edit company SE a German multinational enterprise software companycompany Ariba a US software and information technology services compan ,SAP,company,Wikipedia
00025, Systems Redirected from Cisco Cisco redirects here For other uses see Cisco disambiguation Not to be confused with Sysco Coordinates 37 24 30 N 121 57 15 W 37 4083562 N 121 954088 W 37 4083562 121 954088company Inc TypePublicTraded asNASDAQ CSCONASDAQ 100 componentDJIA componentS P 100 componentS P 500 componentIndustryNetworking hardwareFoundedDecember 10 1984 33 years ago 1984 12 10 in San Francisco California United StatesFoundersLeonard BosackSandy LernerHeadquartersSan Jose California United States 1 Area servedWorldwideKey peopleChuck Robbins CEO and Chairman ProductsList of Cisco productsRevenue US 48 005 billion 2017 2 Operating income US 11 973 billion 2017 2 Net income US 9 609 billion 2017 2 Total assets US 129 818 billion 2017 2 Total equity US 66 137 billion 2017 2 Number of employees72 790 2017 2 SubsidiariesList of acquisitions by companyWebsitecisco comcompany Inc is an Ameri ,Cisco,company,Wikipedia
00026, For other uses see company disambiguation SarvangasanaPart of a series onHindu scriptures and textsShrutiSmritiVedasRigvedaSamavedaYajurvedaAtharvavedaDivisionsSamhitaBrahmanaAranyakaUpanishadsUpanishadsRig vedicAitareyaKaushitakiSama vedicChandogyaKenaYajur vedicBrihadaranyakaIshaTaittiriyaKathaShvetashvataraMaitriAtharva vedicMundakaMandukyaPrashnaOther scripturesBhagavad GitaAgamasRelated Hindu textsVedangasShikshaChandasVyakaranaNiruktaKalpaJyotishaPuranasBrahma puranasBrahmaBrahm ndaBrahmavaivartaMarkandeyaBhavishyaVaishnava puranasVishnuBhagavataNaradiyaGarudaPadmaVamanaKurmaMatsyaShaiva puranasShivaLingaSkandaVayuAgniItihasaRamayanaMahabharataShastras and sutrasDharma ShastraArtha astraKamasutraBrahma SutrasSamkhya SutrasMimamsa SutrasNy ya S trasVai e ika S traYoga SutrasPramana SutrasCharaka SamhitaSushruta SamhitaNatya ShastraPanchatantraDivya PrabandhaTirumuraiRamcharitmanasYoga VasisthaSwara yogaShiva Samhi ,Asana,company,Wikipedia
00027, This article is about the classical concept For the software company see company Corporation For other uses see company disambiguation Consulting the company by John William Waterhouse showing eight priestesses in a temple of prophecyIn classical antiquity an oracle was a person or agency considered to provide wise and insightful counsel or prophetic predictions or precognition of the future inspired by the god As such it is a form of divination Contents1 Description2 Origins3 Pythia Delphi 4 Dodona5 Trophonius6 company of Menestheus7 companys in other cultures7 1 China7 2 Celtic polytheism7 3 Hinduism7 4 Tibetan Buddhism7 5 Pre Columbian Americas7 6 Nigeria7 7 Norse mythology7 8 Hawaii8 References9 Further reading10 External linksDescription edit The word oracle comes from the Latin verb r re to speak and properly refers to the priest or priestess uttering the prediction In extended use oracle may also refer to the sit ,Oracle,company,Wikipedia
00028, company Inc Type of businessPrivate companyType of siteGit repository hosting serviceAvailable inEnglishFoundedFebruary 8 2008 10 years ago 2008 02 08 as Logical Awesome LLC HeadquartersSan Francisco California U S Area servedWorldwideOwnerMicrosoft acquisition in progress Founder s Tom Preston Werner Chris Wanstrath P J HyettCEONat Friedman post acquisition Chris Wanstrath interim Key peopleP J Hyett COO IndustrySoftwareEmployees800 1 Websitegithub comAlexa rank 60 August 2018 update 2 RegistrationOptional required for creating and joining projects Users40 1 million June 2018 LaunchedApril 10 2008 10 years ago 2008 04 10 Current statusActiveWritten inRubycompany Inc is a web based hosting service for version control using Git It is mostly used for computer code It offers all of the distributed version control and source code management SCM functionality of Git as well as adding its own features It provides acc ,GitHub,company,Wikipedia
00029, Web Services company Inc Type of siteSubsidiaryKey peopleAndy Jassy CEO 1 IndustryWeb service cloud computingRevenue 17 4 billion 2017 2 Operating income 1 3 billion 3 ParentAmazonSubsidiariesAnnapurna LabsAWS ElementalWebsiteaws amazon comLaunchedMarch 2006 12 years ago 2006 03 4 5 company AWS is a subsidiary of Amazon com that provides on demand cloud computing platforms to individuals companies and governments on a paid subscription basis The technology allows subscribers to have at their disposal a virtual cluster of computers available all the time through the Internet AWS s version of virtual computers emulate most of the attributes of a real computer including hardware CPU s GPU s for processing local RAM memory hard disk SSD storage a choice of operating systems networking and pre loaded application software such as web servers databases CRM etc Each AWS system also virtualizes its console I O ke ,Amazon,company,Wikipedia
00030, companycompany headquarters in San FranciscoTypePublicTraded asNASDAQ DOCUFounded2003HeadquartersSan Francisco CaliforniaNumber of locations13 1 2015 Key peopleDaniel Springer CEO 2 Tom Gonser Co founder 3 Court Lorenzini Co founder Keith Krach Chairman ProductsElectronic signature and digital transaction management software and servicesWebsitedocusign comcompany is a San Francisco based company that provides electronic signature technology and digital transaction management services for facilitating electronic exchanges of contracts and signed documents company s features include authentication services user identity management and workflow automation Signatures processed by company are comparable to traditional signatures based on the product s compliance with the ESIGN Act 4 as well as the European Union s Directive 1999 93 EC on electronic signatures 5 In April 2018 company filed for an initial publi ,DocuSign,company,Wikipedia
00031, company Inc FormerlyGlidesoftTypePublicTraded asNYSE NOWS P 400 ComponentRussell 1000 ComponentIndustryEnterprise softwareFounded2003 15 years ago 2003 FoundersFred LuddyDavid LooDon GoodliffeBow RuggeriHeadquartersSanta Clara CaliforniaArea served800 customers worldwide 2011 1 Key peopleJohn Donahue CEO Chirantan CJ Desai CPO 2 Michael Scarpelli CFO ServicesCloud computingIT service managementRevenue US 1 933 026 000 2017 3 1Operating income US 101 414 000 2017 3 1Net income US 149 130 000 2017 3 1Total assets US 3 397 904 000 2017 3 2Total equity US 584 000 2017 3 2Number of employees6000 1000 in San Diego area 2 2017 Websitewww servicenow comcompany Inc Service now in 2011 is a cloud computing company headquartered in Santa Clara California It was founded in 2004 by Fred Luddy the previous CTO of software companies Peregrine Systems and Remedy Corporation company is listed on the New York ,ServiceNow,company,Wikipedia
00032, companyDeveloper s LogMeIn 1 Initial releaseJuly 2004 14 years ago 2004 07 TypeVideo conferencingLicenseProprietaryWebsitewww gotomeeting comcompany is a web hosted service created and marketed by LogMeIn 1 It is an online meeting desktop sharing and video conferencing software package that enables the user to meet with other computer users customers clients or colleagues via the Internet in real time In late 2015 Citrix announced plans to spin off the company business as a stand alone subsidiary with a market value around 4 billion 2 In July 2016 Citrix and LogMeIn announced plans to merge the GoTo family of products 3 Contents1 Technology2 History3 Editions and features4 Awards5 Competition6 See also7 References8 External linksTechnology edit company is designed to broadcast the desktop view of a host computer to a group of computers connected to the host through the Internet Transmissions are pr ,GoToMeeting,company,Wikipedia
00033, This article contains content that is written like an advertisement Please help improve it by removing promotional content and inappropriate external links and by adding encyclopedic content written from a neutral point of view May 2018 Learn how and when to remove this template message company Corporation PlcTypePublicTraded asNASDAQ TEAM Class A Russell 1000 ComponentIndustrySoftwareFoundedSydney Australia 2002 16 years ago 2002 HeadquartersSydney AustraliaKey peopleMike Cannon Brookes and Scott Farquhar Co Founders CEOs ProductsJiraConfluenceHipchat StrideBitbucket Bitbucket ServerBambooFisheyeCrucibleTrellocompany MarketplaceSourcetreeCrowdStatuspageRevenue 619 9 million July 2017 Number of employees2 292 Oct 2017 1 Websitecompanycompany Corporation Plc t l si n is an Australian enterprise software company that develops products for software developers project managers and content management 2 3 ,Atlassian,company,Wikipedia
00034, Creative Cloud companyDeveloper s Adobe SystemsInitial releaseOctober 2011 6 years ago 2011 10 Stable releaseCC 2018 18 October 2017 10 months ago 2017 10 18 Operating systemWindows macOSAvailable inEnglishTypeSoftware suiteLicenseSoftware as a serviceWebsiteadobe com creativecloudcompany is a set of applications and services from Adobe Systems that gives subscribers access to a collection of software used for graphic design video editing web development photography along with a set of mobile applications and also some optional cloud services In Creative Cloud a monthly or annual subscription service is delivered over the Internet 1 2 Software from Creative Cloud is downloaded from the Internet installed directly on a local computer and used as long as the subscription remains valid Online updates and multiple languages are included in the CC subscription Creative Cloud was initially hosted on Amazon Web ,Adobe,company,Wikipedia
00035, company Inc TypePublicTraded asNYSE HUBSRussell 2000 ComponentIndustrySoftwareFoundedJune 2006FounderBrian Halligan Dharmesh ShahHeadquartersCambridge MassachusettsRevenueUS 375 6 million 2017 1 Operating incomeUS 40 1 million 2017 1 Net incomeUS 39 70 million 2017 1 Total assetsUS 712 million 2017 1 Total equityUS 210 3 million 2017 1 Websitewww hubspot comcompany is a developer and marketer of software products for inbound marketing and sales It was founded by Brian Halligan and Dharmesh Shah in 2006 Its products and services aim to provide tools for social media marketing content management web analytics and search engine optimization Contents1 History2 Software and services2 1 company CRM Free2 2 Tech industry reviews3 Controversy4 Reception5 References6 Further reading7 External linksHistory edit Interior view of company s office spacecompany was founded by Brian Halligan and Dharmesh Shah at the Massachuse ,HubSpot,company,Wikipedia
00036, Look up xero in Wiktionary the free dictionary company may refer to company band an Australian punk bandcompany rapper Detroit independent songwritercompany an early name for the band Linkin Park as well as a demo tape of the same namecompany SF fanzine company comics company software an online accounting systemcompany film company shoes a brand of minimalist footwearSee also edit companys disambiguation Zero disambiguation Disambiguation page providing links to articles with similar titlesThis disambiguation page lists articles associated with the title company If an internal link led you here you may wish to change the link to point directly to the intended article Retrieved from https en wikipedia org w index php title company oldid 798882884 Categories Disambiguation pagesHidden categories Disambiguation pages with short descriptionAll article disambiguation pagesAll disambiguation pages ,Xero,company,Wikipedia
